assigned priority -19
total sum = 1152105599040000

Stack 			 : 0x7fff62f3453c
Heap 			 : 0x7f742f9e4010
BSS 			 : 0x6c5ce8
Text 			 : 0x401420

===========================================================
	 Color Number 	 : 	      Pages 	 Size (MB)
===========================================================
	    ### 	 : 	       2084        8
	 Color[00] 	 : 	        138        0
	 Color[01] 	 : 	        133        0
	 Color[02] 	 : 	        136        0
	 Color[03] 	 : 	        130        0
	 Color[04] 	 : 	        121        0
	 Color[05] 	 : 	        106        0
	 Color[06] 	 : 	        121        0
	 Color[07] 	 : 	        124        0
	 Color[08] 	 : 	        117        0
	 Color[09] 	 : 	        139        0
	 Color[10] 	 : 	        130        0
	 Color[11] 	 : 	        128        0
	 Color[12] 	 : 	        103        0
	 Color[13] 	 : 	        140        0
	 Color[14] 	 : 	        124        0
	 Color[15] 	 : 	        106        0
	 Color[16] 	 : 	          5        0
	 Color[17] 	 : 	          2        0
	 Color[18] 	 : 	          6        0
	 Color[19] 	 : 	          3        0
	 Color[20] 	 : 	          4        0
	 Color[21] 	 : 	          5        0
	 Color[22] 	 : 	          4        0
	 Color[23] 	 : 	          6        0
	 Color[24] 	 : 	          6        0
	 Color[25] 	 : 	          8        0
	 Color[26] 	 : 	          4        0
	 Color[27] 	 : 	          5        0
	 Color[28] 	 : 	          8        0
	 Color[29] 	 : 	          7        0
	 Color[30] 	 : 	          9        0
	 Color[31] 	 : 	          6        0

