assigned priority -19
total sum = 1152105599040000

Stack 			 : 0x7fffef5cad3c
Heap 			 : 0x7f1fe230e010
BSS 			 : 0x6c5ce8
Text 			 : 0x401420

===========================================================
	 Color Number 	 : 	      Pages 	 Size (MB)
===========================================================
	    ### 	 : 	       2084        8
	 Color[00] 	 : 	        124        0
	 Color[01] 	 : 	        124        0
	 Color[02] 	 : 	        124        0
	 Color[03] 	 : 	        126        0
	 Color[04] 	 : 	        125        0
	 Color[05] 	 : 	        125        0
	 Color[06] 	 : 	        123        0
	 Color[07] 	 : 	        125        0
	 Color[08] 	 : 	        124        0
	 Color[09] 	 : 	        129        0
	 Color[10] 	 : 	        125        0
	 Color[11] 	 : 	        123        0
	 Color[12] 	 : 	        127        0
	 Color[13] 	 : 	        124        0
	 Color[14] 	 : 	        125        0
	 Color[15] 	 : 	        123        0
	 Color[16] 	 : 	          5        0
	 Color[17] 	 : 	          2        0
	 Color[18] 	 : 	          6        0
	 Color[19] 	 : 	          3        0
	 Color[20] 	 : 	          4        0
	 Color[21] 	 : 	          5        0
	 Color[22] 	 : 	          4        0
	 Color[23] 	 : 	          6        0
	 Color[24] 	 : 	          6        0
	 Color[25] 	 : 	          8        0
	 Color[26] 	 : 	          4        0
	 Color[27] 	 : 	          5        0
	 Color[28] 	 : 	          8        0
	 Color[29] 	 : 	          7        0
	 Color[30] 	 : 	          9        0
	 Color[31] 	 : 	          6        0

